***PowerTOP Report***
**System Information**

PowerTOP Version;v2.5
Kernel Version;Linux version 3.12.9-3-ck (squishy@ease) (gcc version 4.8.2 20131219 (prerelease) (GCC) ) #1 SMP PREEMPT Sun Feb 2 15:00:54 EST 2014
System Name;Apple Inc. Mac-189A3D4F975D5FFC 1.0
CPU Information;4x  Intel(R) Core(TM) i5-4258U CPU @ 2.40GHz
OS Information;Arch Linux

**Power Consumption Summary**
53.2 wakeups/second, 10.3 GPU ops/second, 0.0 VFS ops/sec, 2.4 GFX wakes/sec and 0.8% CPU use

Power est.;Usage;Events/s;Category;Description
  13.6 W  ;  0.0 pkts/s;;Device;Network interface: wlp3s0 (wl)
  12.2 W  ; 50.0%;;Device;Display backlight
 9.57 mW  ;  0.3%; 0.00;Timer;wl_timer
 6.63 mW  ;  0.2%;  4.7;Interrupt;[6] tasklet(softirq)
 2.41 mW  ;  0.1%;  5.8;Process;/usr/sbin/X :0 -auth /run/lightdm/root/:0 -nolisten tcp vt1 -novtswitch 
 1.07 mW  ;  0.0%; 17.6;Process;urxvt 
  893 uW  ;  0.0%;  8.3;Interrupt;[63] i915
  757 uW  ;  0.0%; 0.00;Interrupt;[18] wlp3s0
  382 uW  ;  0.0%;  2.1;Timer;hrtimer_wakeup
  362 uW  ;  0.0%;  2.1;Interrupt;[9] acpi
  258 uW  ;  0.0%;  4.1;Timer;tick_sched_timer

**Processor Idle state report**

Package 0;;Core 0;;CPU 0;CPU 2
;;;;;;C0 active;  0.4%;;  0.3%;
;;;;;;POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
;;;;;;C1E-HSW;  0.7%;   1.3 ms;  0.0%;   0.8 ms
C2 (pc2);  7.2%;;;;;;;;;
C3 (pc3);  0.2%;;C3 (cc3);  0.1%;;C3-HSW;  0.0%;   0.3 ms;  0.0%;   0.1 ms
C6 (pc6); 86.1%;;C6 (cc6);  1.0%;;C6-HSW;  0.0%;   0.0 ms;  1.0%;   3.9 ms
C7 (pc7);  0.0%;;C7 (cc7); 97.4%;;C7s-HSW;  0.1%;   1.2 ms;  0.0%;   0.1 ms
C8 (pc8);  0.0%;;;;;C8-HSW;  0.1%;   1.7 ms;  0.0%;   0.2 ms
C9 (pc9);  0.0%;;;;;C9-HSW;  1.7%;   9.4 ms;  0.1%;   2.2 ms
C10 (pc10);  0.0%;;;;;C10-HSW; 97.0%;  96.5 ms; 98.3%;  76.5 ms
;;Core 1;;CPU 1;CPU 3
;;;;;C0 active;  0.1%;;  0.0%;
;;;;;POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
;;;;;C1E-HSW;  0.0%;   0.0 ms;  0.1%;   0.7 ms
;;;;;;;;;
;;C3 (cc3);  0.0%;;C3-HSW;  0.0%;   0.5 ms;  0.0%;   0.1 ms
;;C6 (cc6);  1.5%;;C6-HSW;  1.6%; 103.5 ms;  0.0%;   0.0 ms
;;C7 (cc7); 98.2%;;C7s-HSW;  0.2%;   1.1 ms;  0.0%;   0.0 ms
;;;;;C8-HSW;  0.1%;   1.1 ms;  0.7%;  48.2 ms
;;;;;C9-HSW;  1.5%;   7.6 ms;  0.0%;   2.5 ms
;;;;;C10-HSW; 96.5%;  94.6 ms; 99.2%; 550.9 ms
;;GPU 17368304;
;;;;
;;Powered On;  4.8%;
;;RC6; 95.2%;
;;RC6p;  0.0%;
;;RC6pp;  0.0%;
;;;;
;;;;
;;;;
;;;;
;;;;

**Processor Frequency Report**

Package 0;;Core 0;;CPU 0;CPU 2
;;;;;;Actual;2.5 GHz;2.6 GHz
Idle;  99.8% ;;Idle;  99.9% ;;Idle; 100.0% ; 100.0% 
2.81 GHz;   0.0% ;;2.90 GHz;   0.0% ;;2.90 GHz;   0.0% ;   0.0% 
2.90 GHz;   0.0% ;;2.60 GHz;   0.0% ;;2.60 GHz;   0.0% ;   0.0% 
2.71 GHz;   0.0% ;;2.81 GHz;   0.0% ;;2.81 GHz;   0.0% ;   0.0% 
2.60 GHz;   0.0% ;;2.71 GHz;   0.0% ;;2.71 GHz;   0.0% ;
2.50 GHz;   0.1% ;;2.50 GHz;   0.0% ;;2.50 GHz;   0.0% ;
;;Core 1;;CPU 1;CPU 3
;;;;;Actual;2.4 GHz;2.4 GHz
;;Idle;  99.9% ;;Idle;  99.9% ; 100.0% 
;;2.90 GHz;   0.0% ;;2.90 GHz;   0.0% ;   0.0% 
;;2.60 GHz;   0.0% ;;2.71 GHz;   0.0% ;   0.0% 
;;2.71 GHz;   0.0% ;;2.60 GHz;   0.0% ;   0.0% 
;;2.50 GHz;   0.1% ;;2.50 GHz;   0.1% ;   0.0% 
;;;;;;;

**Overview of Software Power Consumers**

Power est.;Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description
 9.57 mW  ;  3.2 ms/s;;;;;Timer;wl_timer
 6.63 mW  ;  2.2 ms/s;  4.7;;;;Interrupt;[6] tasklet(softirq)
 2.41 mW  ;  0.7 ms/s;  5.8;;;;Process;/usr/sbin/X :0 -auth /run/lightdm/root/:0 -nolisten tcp vt1 -novtswitch 
 1.07 mW  ;255.7 us/s;  7.4; 10.2;;  2.0;Process;urxvt 
  893 uW  ;184.0 us/s;  8.3;;;;Interrupt;[63] i915
  757 uW  ;253.5 us/s;;;;;Interrupt;[18] wlp3s0
  382 uW  ; 98.1 us/s;  2.1;;;;Timer;hrtimer_wakeup
  362 uW  ; 91.3 us/s;  2.1;;;;Interrupt;[9] acpi
  258 uW  ; 29.1 us/s;  4.1;;;;Timer;tick_sched_timer
  249 uW  ; 52.9 us/s;  2.2;;;;Process;/usr/lib/upower/upowerd 
  204 uW  ; 52.3 us/s;  1.1;;;;Interrupt;[64] xhci_hcd
  185 uW  ; 18.3 us/s;  3.1;;;;Process;[usb-storage]
  161 uW  ; 29.1 us/s;  1.8;;;  0.0;Process;/home/ekroth/.xmonad/xmonad-x86_64-linux --replace 
  159 uW  ; 13.0 us/s;  2.9;;;;Process;[irq/65-(null)]
  138 uW  ; 40.6 us/s;  0.4;;;;Process;/usr/bin/NetworkManager --no-daemon 
  129 uW  ; 40.4 us/s; 0.20;  0.1;;  0.0;Process;xfce4-power-manager --restart --sm-client-id 2494ce781-fec9-4e62-a59f-e1a806fa42c4 
  115 uW  ; 38.6 us/s;;;;;Interrupt;[1] timer(softirq)
    0 mW  ; 26.5 us/s; 0.25;  0.0;;  0.0;Process;xfce4-panel --display :0.0 --sm-client-id 2ea7df8d4-3ea5-452c-87a7-b9a1cca9ed03 
    0 mW  ; 21.9 us/s;  0.4;;;;Interrupt;[65] (null)
    0 mW  ;  6.4 us/s;  1.0;;;;Process;[ksoftirqd/0]
    0 mW  ; 18.2 us/s; 0.05;;;;Interrupt;[4] block(softirq)
    0 mW  ; 18.1 us/s;;;;;Process;[kworker/u16:2]
    0 mW  ;  4.5 us/s;  0.9;;;;Process;[rcu_preempt]
    0 mW  ; 15.8 us/s;;;;;Process;/usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation 
    0 mW  ; 12.5 us/s; 0.20;;;  0.2;Process;nm-applet 
    0 mW  ; 15.1 us/s;;;;;Timer;intel_pstate_timer_func
    0 mW  ; 14.6 us/s;;;;;Process;[kworker/2:1]
    0 mW  ; 10.8 us/s; 0.20;;;;Process;[kworker/0:0]
    0 mW  ;  9.1 us/s; 0.30;;;;Process;/usr/bin/gpg-agent --sh --daemon --enable-ssh-support --write-env-file /home/ekroth/.cache/gpg-agent-info 
    0 mW  ; 12.1 us/s; 0.05;;;;Interrupt;[9] RCU(softirq)
    0 mW  ; 12.6 us/s;;;;;Timer;delayed_work_timer_fn
    0 mW  ; 10.8 us/s; 0.10;;;;Timer;posix_timer_fn
    0 mW  ;  6.1 us/s; 0.25;;;;Process;/usr/lib/accountsservice/accounts-daemon 
    0 mW  ;  8.8 us/s;;;;;Timer;clocksource_watchdog
    0 mW  ;  7.9 us/s;;;;;kWork;vmstat_update
    0 mW  ;  0.7 us/s;  0.5;;;;kWork;mei_timer
    0 mW  ;  1.4 us/s;  0.4;;;;kWork;i915_gem_retire_work_handler
    0 mW  ;  1.0 us/s;  0.4;;;;kWork;acpi_os_execute_deferred
    0 mW  ;  0.0 us/s;  0.4;;;;kWork;disk_events_workfn
    0 mW  ;  4.4 us/s; 0.05;;;;Process;/usr/bin/crond -n 
    0 mW  ;  2.5 us/s; 0.15;;;;Process;/usr/lib/rtkit/rtkit-daemon 
